t,SINR
11.355,-3.12961839450145
11.36,-9.81189819311171
11.365,-4.76836145310106
11.37,-11.3761265922378
11.375,-14.7621661161328
11.38,-14.7788409832845
11.385,-10.1426864714654
11.39,-11.0146860326303
11.395,-7.381340342459
11.4,5.29952758443969
11.405,29.1664619993456
11.41,-4.27600369260393
11.415,7.47779067067836
11.42,3.10986996667656
11.425,-9.90676447736166
11.43,-2.8301725130168
11.435,-11.6095355888925
11.44,-9.38808506017142
11.445,-7.75695140715889
11.45,-0.642077369830218
11.455,6.48442733524659
11.46,3.6435693307906
11.465,-12.513590911897
11.47,-2.66013138853
11.475,3.14679649298161
11.48,-2.44117711357195
11.485,-5.99062970427828
11.49,-14.9458747753484
11.495,7.2817548438105
11.5,-0.17062276534655
11.505,-17.5959171934832
11.51,8.34023073618912
11.515,10.6901291218296
11.52,-5.86653135547086
11.525,-0.649894547058238
11.53,-6.03986362308816
11.535,-0.596674115582815
11.54,-11.4760039377696
11.545,-7.9951501218487
11.55,3.35179569906124
11.555,17.8534477364896
11.56,-0.362176246140933
11.565,11.2352128343403
11.57,13.2610799035495
11.575,-1.02968955366827
11.58,-1.68345701710646
11.585,-11.3421382761263
11.59,-6.79291627359753
11.595,-14.3882323941902
11.6,-4.73709829220323
11.605,-8.14185880950689
11.61,-8.05474211974695
11.615,5.56202169489423
11.62,-1.54576455510853
11.625,-10.347284600471
11.63,-8.23858188189975
11.635,-8.35964366106305
11.64,-2.13573326654382
11.645,9.76057225430107
11.65,-8.21417852916976
11.655,-1.42287876286559
11.66,-7.23844146074224
11.665,3.80542758948254
11.67,3.16942715869636
11.675,-1.12290355044971
11.68,-14.355382852877
11.685,-16.8101764456123
11.69,-7.38484682420452
11.695,-10.4036661796625
11.7,-13.8586581223376
11.705,-5.16376011979337
11.71,-8.07483746468618
11.715,-7.12986212010633
11.72,-13.3003034664648
11.725,-11.6008697141075
11.73,-12.3231104582676
11.735,-13.4977752293124
11.74,-8.86944051123035
11.745,-11.4319751829672
11.75,-9.95157441492149
11.755,3.02792446563485
11.76,-3.20283773712097
11.765,-7.63458505748471
11.77,-7.37832381159043
11.775,-5.5516742986819
11.78,-11.3467912062341
11.785,-5.51241986725205
11.79,-0.475616310235878
11.795,-9.9959656298433
11.8,-14.9318011560972
11.805,-20.1288469505766
11.81,-7.97010052205927
11.815,-4.9468482363527
11.82,-3.44409052811266
11.825,-1.48553878334921
11.83,-11.6408129108955
11.835,10.8305047182859
11.84,-9.59835049397078
11.845,-15.5204134039507
11.85,-4.60949164576654
11.855,-14.3795748355388
11.86,14.4319244391757
11.865,-6.92925203940693
11.87,-7.5011453482865
11.875,-3.5395572886104
11.88,3.99458904609763
11.885,5.54496339185187
11.89,2.19893265800933
11.895,-0.208606888675874
11.9,-10.2082018263855
11.905,-5.93544297945131
11.91,-7.75403378103829
11.915,-12.0728281147782
11.92,4.20041904830639
11.925,-12.8247345562145
11.93,-7.29231600872851
